marketplace_id,marketplace_code,gap_type,gap_reason,missing_orders,missing_lines
AMEN7PMS3EDWL,BE,fba,no_finance_rows,102,113
AMEN7PMS3EDWL,BE,fba,sku_mismatch_or_unallocated,1,1
AMEN7PMS3EDWL,BE,referral,no_finance_rows,426,462
AMEN7PMS3EDWL,BE,referral,sku_mismatch_or_unallocated,2,2
A1PA6795UKMFR9,DE,fba,no_finance_rows,974,1033
A1PA6795UKMFR9,DE,fba,finance_exists_no_fba_charge_type,132,137
A1PA6795UKMFR9,DE,fba,sku_mismatch_or_unallocated,49,53
A1PA6795UKMFR9,DE,referral,no_finance_rows,2067,2234
A1PA6795UKMFR9,DE,referral,sku_mismatch_or_unallocated,105,107
A1RKKUPIHCS9HS,ES,fba,no_finance_rows,20,22
A1RKKUPIHCS9HS,ES,referral,no_finance_rows,13,13
A13V1IB3VIYZZH,FR,fba,no_finance_rows,14,16
A13V1IB3VIYZZH,FR,fba,sku_mismatch_or_unallocated,7,7
A13V1IB3VIYZZH,FR,referral,sku_mismatch_or_unallocated,58,64
A13V1IB3VIYZZH,FR,referral,no_finance_rows,51,55
A28R8C7NBKEWEA,IE,referral,no_finance_rows,2,2
APJ6JRA9NG5V4,IT,fba,sku_mismatch_or_unallocated,24,27
APJ6JRA9NG5V4,IT,fba,no_finance_rows,10,11
APJ6JRA9NG5V4,IT,referral,sku_mismatch_or_unallocated,34,35
A1805IZSGTT6HS,NL,fba,no_finance_rows,69,75
A1805IZSGTT6HS,NL,fba,sku_mismatch_or_unallocated,2,3
A1805IZSGTT6HS,NL,fba,finance_exists_no_fba_charge_type,1,1
A1805IZSGTT6HS,NL,referral,no_finance_rows,397,425
A1805IZSGTT6HS,NL,referral,sku_mismatch_or_unallocated,7,7
A1C3SOZRARQ6R3,PL,fba,no_finance_rows,44,45
A1C3SOZRARQ6R3,PL,fba,sku_mismatch_or_unallocated,2,2
A1C3SOZRARQ6R3,PL,referral,no_finance_rows,236,268
A2NODRKZP88ZB9,SE,fba,no_finance_rows,101,111
A2NODRKZP88ZB9,SE,fba,sku_mismatch_or_unallocated,1,1
A2NODRKZP88ZB9,SE,referral,no_finance_rows,197,224
A2NODRKZP88ZB9,SE,referral,sku_mismatch_or_unallocated,1,1
